parent_name,utility_name,respondent_id,year,customer_type,customer_type_rmi,customers,sales,revenues
"American Electric Power Co., Inc.",AEP Generating Co.,1,2020,sales_for_resale,sales_for_resale,,2019392.0,246848141.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2019,sales_for_resale,sales_for_resale,,4073472.0,306947627.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2018,sales_for_resale,sales_for_resale,2.0,5947055.0,339868815.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2017,sales_for_resale,sales_for_resale,2.0,6069003.0,340871490.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2016,sales_for_resale,sales_for_resale,3.0,13491086.0,563840279.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2015,sales_for_resale,sales_for_resale,3.0,12994269.0,541665672.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2014,sales_for_resale,sales_for_resale,,11675906.0,571823174.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2013,sales_for_resale,sales_for_resale,3.0,10546276.0,507770785.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2012,sales_for_resale,sales_for_resale,3.0,16024054.0,544818807.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2011,sales_for_resale,sales_for_resale,3.0,12215480.0,512511722.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2010,sales_for_resale,sales_for_resale,3.0,10362410.0,450573457.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2009,sales_for_resale,sales_for_resale,3.0,9914827.0,414572117.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2008,sales_for_resale,sales_for_resale,3.0,10622505.0,468063360.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2007,sales_for_resale,sales_for_resale,3.0,9027362.0,380328754.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2006,sales_for_resale,sales_for_resale,2.0,10276134.0,309603782.0
"American Electric Power Co., Inc.",AEP Generating Co.,1,2005,sales_for_resale,sales_for_resale,,8969040.0,270544818.0
Southern Co.,Alabama Power Co.,2,2020,commercial,commercial,202036.0,12445819.0,1514861689.0
Southern Co.,Alabama Power Co.,2,2020,industrial,industrial,6159.0,20383787.0,1297459364.0
Southern Co.,Alabama Power Co.,2,2020,public_street_and_highway_lighting,other,755.0,153405.0,20921897.0
Southern Co.,Alabama Power Co.,2,2020,rate_refunds,other,,,6444007.0
Southern Co.,Alabama Power Co.,2,2020,residential,residential,1295794.0,17620060.0,2379707388.0
Southern Co.,Alabama Power Co.,2,2020,sales_for_resale,sales_for_resale,,8821850.0,317729232.0
Southern Co.,Alabama Power Co.,2,2019,commercial,commercial,200349.0,13567472.0,1634753789.0
Southern Co.,Alabama Power Co.,2,2019,industrial,industrial,6173.0,22147839.0,1392732681.0
Southern Co.,Alabama Power Co.,2,2019,public_street_and_highway_lighting,other,757.0,172859.0,24699047.0
Southern Co.,Alabama Power Co.,2,2019,rate_refunds,other,,,-4955631.0
Southern Co.,Alabama Power Co.,2,2019,residential,residential,1280955.0,18264230.0,2448683545.0
Southern Co.,Alabama Power Co.,2,2019,sales_for_resale,sales_for_resale,,8586435.0,339208540.0
Southern Co.,Alabama Power Co.,2,2018,commercial,commercial,200032.0,13867963.0,1578302583.0
Southern Co.,Alabama Power Co.,2,2018,industrial,industrial,6158.0,23005571.0,1428119859.0
Southern Co.,Alabama Power Co.,2,2018,public_street_and_highway_lighting,other,759.0,186521.0,25493141.0
Southern Co.,Alabama Power Co.,2,2018,rate_refunds,other,,,-2603857.0
Southern Co.,Alabama Power Co.,2,2018,residential,residential,1273526.0,18626138.0,2335175722.0
Southern Co.,Alabama Power Co.,2,2018,sales_for_resale,sales_for_resale,,9583354.0,398043439.0
Southern Co.,Alabama Power Co.,2,2017,commercial,commercial,199840.0,13606287.0,1649255424.0
Southern Co.,Alabama Power Co.,2,2017,industrial,industrial,6171.0,22686919.0,1476668643.0
Southern Co.,Alabama Power Co.,2,2017,public_street_and_highway_lighting,other,760.0,197836.0,29406285.0
Southern Co.,Alabama Power Co.,2,2017,rate_refunds,other,,,-3863559.0
Southern Co.,Alabama Power Co.,2,2017,residential,residential,1268271.0,17218624.0,2302495439.0
Southern Co.,Alabama Power Co.,2,2017,sales_for_resale,sales_for_resale,,9580895.0,372499113.0
Southern Co.,Alabama Power Co.,2,2016,commercial,commercial,199146.0,14090927.0,1627462005.0
Southern Co.,Alabama Power Co.,2,2016,industrial,industrial,6090.0,22310047.0,1416105333.0
Southern Co.,Alabama Power Co.,2,2016,public_street_and_highway_lighting,other,756.0,208201.0,29787003.0
Southern Co.,Alabama Power Co.,2,2016,rate_refunds,other,,,-63399562.0
Southern Co.,Alabama Power Co.,2,2016,residential,residential,1262752.0,18342899.0,2321847876.0
Southern Co.,Alabama Power Co.,2,2016,sales_for_resale,sales_for_resale,,8921349.0,351535648.0
Southern Co.,Alabama Power Co.,2,2015,commercial,commercial,197920.0,14102076.0,1563739387.0
Southern Co.,Alabama Power Co.,2,2015,industrial,industrial,6056.0,23380447.0,1436168556.0
Southern Co.,Alabama Power Co.,2,2015,public_street_and_highway_lighting,other,751.0,200606.0,27786557.0
Southern Co.,Alabama Power Co.,2,2015,rate_refunds,other,,,-6033893.0
Southern Co.,Alabama Power Co.,2,2015,residential,residential,1253875.0,18082378.0,2206679205.0
Southern Co.,Alabama Power Co.,2,2015,sales_for_resale,sales_for_resale,,8081829.0,325242590.0
Southern Co.,Alabama Power Co.,2,2014,commercial,commercial,197082.0,14118248.0,1532692260.0
Southern Co.,Alabama Power Co.,2,2014,industrial,industrial,6032.0,23799049.0,1479903995.0
Southern Co.,Alabama Power Co.,2,2014,public_street_and_highway_lighting,other,746.0,210969.0,27865030.0
Southern Co.,Alabama Power Co.,2,2014,rate_refunds,other,,,-1537220.0
Southern Co.,Alabama Power Co.,2,2014,residential,residential,1247061.0,18726485.0,2208880698.0
Southern Co.,Alabama Power Co.,2,2014,sales_for_resale,sales_for_resale,,10300563.0,469818433.0
Southern Co.,Alabama Power Co.,2,2013,commercial,commercial,196209.0,13891961.0,1477268522.0
Southern Co.,Alabama Power Co.,2,2013,industrial,industrial,5851.0,22903925.0,1369011370.0
Southern Co.,Alabama Power Co.,2,2013,interdepartmental,other,1.0,836.0,59953.0
Southern Co.,Alabama Power Co.,2,2013,public_street_and_highway_lighting,other,744.0,210082.0,27270018.0
Southern Co.,Alabama Power Co.,2,2013,rate_refunds,other,,,2391458.0
Southern Co.,Alabama Power Co.,2,2013,residential,residential,1241998.0,17919762.0,2078503083.0
Southern Co.,Alabama Power Co.,2,2013,sales_for_resale,sales_for_resale,,11383060.0,459916282.0
Southern Co.,Alabama Power Co.,2,2012,commercial,commercial,196177.0,13962744.0,1491271174.0
Southern Co.,Alabama Power Co.,2,2012,industrial,industrial,5839.0,22157722.0,1345849982.0
Southern Co.,Alabama Power Co.,2,2012,interdepartmental,other,1.0,3587.0,252573.0
Southern Co.,Alabama Power Co.,2,2012,public_street_and_highway_lighting,other,741.0,210293.0,27217144.0
Southern Co.,Alabama Power Co.,2,2012,rate_refunds,other,,,5038140.0
Southern Co.,Alabama Power Co.,2,2012,residential,residential,1237730.0,17612420.0,2068490661.0
Southern Co.,Alabama Power Co.,2,2012,sales_for_resale,sales_for_resale,,8475683.0,388195995.0
Southern Co.,Alabama Power Co.,2,2011,commercial,commercial,196537.0,14173199.0,1494589321.0
Southern Co.,Alabama Power Co.,2,2011,industrial,industrial,5183.0,21666366.0,1306317991.0
Southern Co.,Alabama Power Co.,2,2011,interdepartmental,other,1.0,3812.0,267036.0
Southern Co.,Alabama Power Co.,2,2011,public_street_and_highway_lighting,other,740.0,210090.0,26741121.0
Southern Co.,Alabama Power Co.,2,2011,rate_refunds,other,,,-5903364.0
Southern Co.,Alabama Power Co.,2,2011,residential,residential,1232026.0,18650366.0,2143733078.0
Southern Co.,Alabama Power Co.,2,2011,sales_for_resale,sales_for_resale,,11539834.0,531524571.0
Southern Co.,Alabama Power Co.,2,2010,commercial,commercial,197659.0,14783153.0,1534949785.0
Southern Co.,Alabama Power Co.,2,2010,industrial,industrial,5641.0,20557837.0,1230461572.0
Southern Co.,Alabama Power Co.,2,2010,interdepartmental,other,1.0,3696.0,254911.0
Southern Co.,Alabama Power Co.,2,2010,public_street_and_highway_lighting,other,740.0,212173.0,26666135.0
Southern Co.,Alabama Power Co.,2,2010,rate_refunds,other,,,-854399.0
Southern Co.,Alabama Power Co.,2,2010,residential,residential,1232188.0,20417032.0,2283420225.0
Southern Co.,Alabama Power Co.,2,2010,sales_for_resale,sales_for_resale,,14538785.0,701132936.0
Southern Co.,Alabama Power Co.,2,2009,commercial,commercial,200965.0,14186970.0,1429601367.0
Southern Co.,Alabama Power Co.,2,2009,industrial,industrial,5910.0,18554028.0,1080207632.0
Southern Co.,Alabama Power Co.,2,2009,interdepartmental,other,1.0,3493.0,239091.0
Southern Co.,Alabama Power Co.,2,2009,public_street_and_highway_lighting,other,735.0,214101.0,25355024.0
Southern Co.,Alabama Power Co.,2,2009,rate_refunds,other,,,887915.0
Southern Co.,Alabama Power Co.,2,2009,residential,residential,1228000.0,18071471.0,1961677752.0
