parent_name,utility_name,respondent_id,year,rate_base_actual,equity_actual,debt_actual,equity_ratio_actual,returns_actual,earnings_actual,interest_actual,fed_tax_expense_actual,pre_tax_net_income_actual,ROR_actual,ROE_actual,interest_rate_actual,equity_ratio,ROR,ROE,interest_rate,effective_fed_tax_rate,equity_authorized,debt_authorized,returns_authorized,earnings_authorized,interest_authorized,interest_rate_authorized
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2020,552542648.0,216814769.0,195000000.0,0.526486142122795,15680434.0,13817110.0,2918608.0,5395152.0,6715090.0,0.02837868544040423,0.04749681258797704,0.014967220512820513,0.526486142122795,0.014967220512820513,0.0,0.0489393838267377,0.8034370350955833,290906047.1038335,261636600.8961665,8270027.655353764,0.0,8270027.655353764,0.031608833118252515
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2019,643525970.0,242193753.0,195000000.0,0.553973498793337,19833148.0,14440604.0,5167077.0,8031224.0,21026462.0,0.03081949901726577,0.040507019726638144,0.02649783076923077,0.553973498793337,0.02649783076923077,0.0,0.050011655011655005,0.38195793472054407,356496333.16527605,287029636.83472395,17052042.248665076,0.0,17052042.248665076,0.059408646565942955
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2018,472724035.0,221400905.0,195000000.0,0.531701305980591,-8335687.0,-13597686.0,4280928.0,48537206.0,26823364.0,-0.017633304809644385,-0.0540990448115847,0.021953476923076923,0.531701305980591,0.021953476923076923,0.0,0.052578013417009316,1.8095122595361268,251347986.77791458,221376048.22208542,10377936.193356307,0.0,10377936.193356307,0.04687921876238895
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2017,478729679.0,270962495.0,170000000.0,0.6144796849446346,14968559.0,10128779.0,4456374.0,-17977168.0,392115051.0,0.03126724675033152,0.03443175927771297,0.026213964705882352,0.6144796849446346,0.026213964705882352,0.0,0.05378542921528783,-0.045846666569297284,294169662.32556605,184560016.67443395,12549402.908964388,0.0,12549402.908964388,0.06799632517969308
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2016,639517753.0,307653606.0,322727330.0,0.4880439563292885,45380680.0,33669701.0,10218358.0,8002234.0,60353209.0,0.0709607822255405,0.10787671563167073,0.03166251212749785,0.4880439563292885,0.03166251212749785,0.0,0.05488247422680411,0.1325900334479315,312112774.3169367,327404978.6830633,20248738.610112675,0.0,20248738.610112675,0.06184615362771862
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2015,490789469.0,266476730.0,205000060.0,0.5651958604367354,37828202.0,26092719.0,10374373.0,-1277756.0,47048844.0,0.07707623001177313,0.0940643653152627,0.05060668274926359,0.5651958604367354,0.05060668274926359,0.0,0.055887994463433434,-0.027158074277021556,277392176.2247435,213397292.7752565,24837226.954362538,0.0,24837226.954362538,0.11638960659412087
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2014,493693696.0,271563920.0,212272790.0,0.5612718390053537,36731877.0,24355423.0,10840391.0,16020811.0,56565065.0,0.07440215926921619,0.08789513596963988,0.05106820803551883,0.5612718390053537,0.05106820803551883,0.0,0.05825615227909764,0.28322801361582456,277096368.65927005,216597327.34072995,25212052.37315219,0.0,25212052.37315219,0.11640057004715958
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2013,474034170.0,269014786.0,219545520.0,0.5506275943752172,34783179.0,21791519.0,11317951.0,8950233.0,45544031.0,0.07337694453545406,0.08348719771238815,0.05155172831584083,0.5506275943752172,0.05155172831584083,0.0,0.06014477051907051,0.19651824407022733,261016294.67875278,213017875.32124722,24437280.744265106,0.0,24437280.744265106,0.1147193901329258
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2012,492795614.0,251650506.0,226818250.0,0.5259497153038766,32661190.0,19270887.0,11830797.0,3814824.0,30377321.0,0.06627735530129941,0.07435165613643933,0.05215981077360397,0.5259497153038766,0.05215981077360397,0.0,0.06101773901377067,0.12558131772054554,259185712.88629904,233609901.11370096,25704125.976301987,0.0,25704125.976301987,0.11003012224122923
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2011,482110745.0,253538699.0,234090980.0,0.5199410739722428,39263966.0,24948575.0,14000178.0,4085522.0,42799503.0,0.08144179819099448,0.09952789228583928,0.05980656751490382,0.5199410739722428,0.05980656751490382,0.0,0.061885134410658904,0.09545722995895536,250669178.52885807,231441566.47114193,28833388.82050308,0.0,28833388.82050308,0.12458172168523697
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2010,658592336.0,296404596.0,326346987.0,0.4759596026590911,31681105.0,14968340.0,15682826.0,11870996.0,31952781.0,0.0481042722003373,0.047751484071148875,0.04805567884712844,0.4759596026590911,0.04805567884712844,0.0,0.06288231292517005,0.37151683291667165,313463346.5568826,345128989.4431174,31649101.789996106,0.0,31649101.789996106,0.09170224106953023
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2009,646932610.0,297764616.0,333586272.0,0.47163094510449155,36582046.0,20482351.0,16674006.0,-17653907.0,38373455.0,0.05654691916055986,0.06713028149766047,0.04998408927331398,0.47163094510449155,0.04998408927331398,0.0,0.06275424034947948,-0.46005518658666517,305113438.2732154,341819171.7267846,32336337.332058016,0.0,32336337.332058016,0.09460071291116576
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2008,642069083.0,288473143.0,340763851.0,0.45844911496096813,37988323.0,21785520.0,15690036.0,11039583.0,43163493.0,0.05916547612369618,0.07401078894069825,0.04604372193223042,0.45844911496096813,0.04604372193223042,0.0,0.06313449425713227,0.25576203946237624,294356002.8451504,347713080.1548496,29563250.318934176,0.0,29563250.318934176,0.08502196784132642
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2007,500797532.99999994,226156309.0,263027818.0,0.4623132610351439,24924309.0,13780872.0,8916819.0,5769701.0,25508003.0,0.0497692327889323,0.05952208930699095,0.033900669015928954,0.4623132610351439,0.033900669015928954,0.0,0.06513218159903576,0.22619179557098218,231525340.5995851,269272192.4004148,16977371.410226755,0.0,16977371.410226755,0.06304910751787157
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2006,111784275.0,55375894.0,44837155.0,0.5525816702772909,10218770.0,7271042.0,1843500.0,8262646.0,13442625.0,0.09141509393874943,0.11771165450950768,0.04111545435922507,0.5525816702772909,0.04111545435922507,0.0,0.06600943396226416,0.6146601575213174,61769941.39023601,50014333.60976399,4596061.256841564,0.0,4596061.256841564,0.09189488142943693
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2005,101572298.0,50471905.0,44828392.0,0.5296091049957589,7374246.0,4937394.0,1822500.0,3977170.0,12652245.0,0.0726009566112209,0.09178401761665425,0.04065503844081671,0.5296091049957589,0.04065503844081671,0.0,0.06763078053361002,0.3143450035942238,53793613.83614251,47778684.16385749,4129425.6797120897,0.0,4129425.6797120897,0.08642820018965323
Southern Co.,Alabama Power Co.,2.0,2020,19028221726.453083,10101151663.0,8916276121.0,0.5311523607571387,1445027683.0,1106817256.7000256,326509162.0,204140780.0,1909939534.0,0.07594128887993347,0.10951121622883947,0.036619453858207855,0.5002000000000001,0.07384927090165247,0.0976259376560144,0.0489393838267377,0.10688337319897584,9517916507.571835,9510305218.881248,1405220301.053543,929195523.5833583,476024777.4701848,0.05005357520230905
Southern Co.,Alabama Power Co.,2.0,2019,18066746401.51391,9245667451.0,8567816994.0,0.5190263297192892,1358887604.0,1023289125.1741161,325229261.0,58979642.0,1754811678.0,0.07521484908240765,0.10912619699821031,0.037959408006468444,0.5003,0.0747,0.09804259563075947,0.050011655011655005,0.033610240198093784,9038793224.677408,9027953176.8365,1349585956.193089,886186749.1170956,463399207.0759934,0.051329376437724714
Southern Co.,Alabama Power Co.,2.0,2018,16067613326.041492,7768130421.0,8168774301.0,0.48743031074764054,1218169034.0,895936749.2426567,316055714.0,98115250.0,1619235456.0,0.07581518233486859,0.1143966868968919,0.03869071446389568,0.5,0.0755,0.09854090715624493,0.052578013417009316,0.06059356570808687,8033806663.020746,8033806663.020746,1213104806.1161327,791658596.4919492,421446209.62418354,0.052459092843755085
Southern Co.,Alabama Power Co.,2.0,2017,14922085650.427856,7120057733.0,7671504191.0,0.4813594243517565,1142539500.0,838210710.0467687,291676759.0,144218684.0,1812757985.0,0.07656701125872711,0.11669552389321797,0.03802080423056892,0.4998280144806916,0.07631407326807475,0.0996,0.05378542921528783,0.07955760514826804,7458476442.564175,7463609207.863682,1138765137.6392384,742864253.6793917,395900883.9598466,0.05304416039665156
Southern Co.,Alabama Power Co.,2.0,2016,13853542031.858833,6604005273.0,7132916944.0,0.4807485380405863,1125579671.0,824092796.4607315,285730997.0,113756840.0,1744971770.0,0.08124851163778311,0.12373635513552171,0.040058085527036526,0.4999,0.0775464744512859,0.1,0.05488247422680411,0.06519122082989343,6925385661.726231,6928156370.132603,1074293343.2333565,692538566.1726232,381754777.0607333,0.05510192851686843
Southern Co.,Alabama Power Co.,2.0,2015,13092744477.251455,6272880186.0,6889764926.0,0.4765668399189155,1036742170.0,762716220.579565,270955869.0,114988106.0,1679151249.0,0.07918448051906395,0.12223862894404151,0.0393273024421327,0.4998280144806916,0.07855729388713396,0.10000000000000002,0.055887994463433434,0.0684798978462958,6544120476.167635,6548624001.08382,1028530575.6885927,654412047.6167636,374118528.0718291,0.057129334041763756
Southern Co.,Alabama Power Co.,2.0,2014,13144934734.71485,6437136691.0,6619840094.0,0.4930036100236507,1009709817.0,755187355.3406371,248102523.0,203267610.0,1658667702.0,0.07681360443224014,0.11653226185865315,0.037478627803241314,0.49752737891798143,0.07925,0.1014,0.05825615227909764,0.12254872374671705,6539964924.610611,6604969810.1042385,1041736077.7261518,663152443.355516,378583634.37063587,0.05731799618394639
Southern Co.,Alabama Power Co.,2.0,2013,12419888223.0,6187386028.0,6222393673.0,0.4985895138413626,982608383.0,724233268.0,246550217.0,248624143.0,1569536439.0,0.079115718705128,0.11695469019189902,0.03962305022098206,0.49295316303630043,0.0814,0.1025,0.06014477051907051,0.15840609801860103,6122423184.085147,6297465038.914853,1010978901.3522,627548376.3687276,383430524.98347247,0.06088648727925979
Southern Co.,Alabama Power Co.,2.0,2012,12250990111.863785,6082679817.0,6172524301.0,0.4963344354310656,1018034353.0,731973993.7356808,273861708.0,266262076.0,1554332201.0,0.08309812869852386,0.12037881243717358,0.04436786226271027,0.49,0.08220000000000001,0.10325000000000001,0.06101773901377067,0.17130319749452325,6002985154.813254,6248004957.05053,1007031387.1952032,619808217.2344686,387223169.9607346,0.06197549019607843
Southern Co.,Alabama Power Co.,2.0,2011,12131521715.21452,6027301491.0,6125633173.0,0.49595440588143364,1029852946.0,731508957.9450052,286786054.0,25926412.0,1559292600.0,0.0848906650110043,0.12158013355892573,0.046817373143411375,0.49150000000000005,0.08326723995613021,0.10433284108763209,0.061885134410658904,0.016627034592481233,5962642923.027937,6168878792.186583,1010158329.6937717,622099476.5505679,388058853.14320385,0.06290589687622229
Southern Co.,Alabama Power Co.,2.0,2010,12264612423.806538,6078541836.0,6182208443.0,0.4957724199318553,1019301577.0,716745726.2062297,294054726.0,57116030.0,1536669655.0,0.08310915516755008,0.1178769581975812,0.04756467348378599,0.4884000000000001,0.0834,0.105,0.06288231292517005,0.03716871079880861,5990036707.787114,6274575716.0194235,1022868676.1454653,628953854.317647,393914821.8278183,0.06277951524628615
Southern Co.,Alabama Power Co.,2.0,2009,12079916817.767397,5921511297.0,6182488851.0,0.4892193675310256,936007226.0,638222445.9631344,297048356.0,374566889.0,1409167774.0,0.07748457544205112,0.10799520879883409,0.04804672732275987,0.4799,0.0832172399561302,0.10500000000000001,0.06275424034947948,0.26580716356915496,5797152080.846574,6282764736.920823,1005257336.4742422,608700968.4888903,396556367.9853519,0.06311813104428032
Southern Co.,Alabama Power Co.,2.0,2008,11337056674.25066,5539392154.0,5854790871.0,0.48615966075373795,893779535.0,615606665.1832701,273963279.0,198685233.0,1324577513.0,0.07883699982112648,0.11169251633424129,0.04679300850129375,0.4765999999999999,0.08400987837755725,0.10500040070481892,0.06313449425713227,0.14999894762670637,5403241210.947864,5933815463.302796,952424752.3632716,567342492.2543167,385082260.1089549,0.06489623118387572
Southern Co.,Alabama Power Co.,2.0,2007,10379351045.227058,5219125751.0,5160117320.0,0.5028426172600616,862948120.0,590069316.3737957,263416763.0,287461064.0,1248140988.0,0.08314085497636449,0.11305785799327452,0.05104859960819651,0.4752068491669937,0.08523661527743143,0.107,0.06513218159903576,0.2303113724841476,4932338706.600493,5447012338.626565,884700751.8714246,527760241.6062528,356940510.26517177,0.06552959458784197
Southern Co.,Alabama Power Co.,2.0,2006,9423205192.610743,4644630654.0,4816454495.0,0.49091944326184606,779839773.0,528433953.8520982,245170642.0,301885495.0,1125430106.0,0.08275738000606371,0.11423043582398852,0.0509027215464225,0.4722,0.0855096820966502,0.107,0.06600943396226416,0.268240109617256,4449637491.950792,4973567700.65995,805775280.3516481,476111211.63873476,329664068.71291333,0.06628321731081889
Southern Co.,Alabama Power Co.,2.0,2005,8662418900.383848,4257678343.0,4415545815.0,0.4908991472418947,728387391.0,515607542.1461086,200677103.0,150250496.0,1058888512.0,0.08408591172700315,0.12125169045147455,0.045447858862268424,0.47,0.0876,0.10820724351999142,0.06763078053361002,0.14189453780758365,4071336883.1804085,4591082017.20344,758827895.6736251,440548141.5702253,318279754.1033998,0.06932565197283781
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,236677514.0,113214549.0,75000000.0,0.6015185839857683,11471400.0,7953369.0,3405000.0,3009172.0,12149501.0,0.04846848273047181,0.05586567928469923,0.0454,0.5818,0.0891,0.11949999999999998,0.04680750836920137,0.24767864951819832,137698977.64519998,98978536.35480002,21087966.4974,16455027.828601396,4632938.668798605,0.04680750836920138
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2019,236699308.0,110719569.0,75000000.0,0.5961653346287918,10869771.0,7316368.0,3405000.0,2128166.0,11385236.0,0.04592227620707704,0.05184797916431708,0.0454,0.5818,0.0891,0.11949999999999998,0.04680750836920137,0.18692331015360594,137711657.3944,98987650.6056,21089908.3428,16456543.058630798,4633365.284169201,0.04680750836920135
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2018,243320911.0,113860997.0,75000000.0,0.602882536938,11641869.0,8112883.0,3405000.0,2019134.0,12452272.0,0.04784573981806274,0.05530483166085331,0.0454,0.5818,0.0891,0.11949999999999998,0.04680750836920137,0.1621498470319312,141564106.0198,101756804.9802,21679893.1701,16916910.6693661,4762982.500733901,0.04680750836920135
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2017,248107466.0,116169518.0,75000000.0,0.6076780399686942,12489412.0,8964317.0,3405000.0,3451939.0,15613653.0,0.050338718948505966,0.05945711472889251,0.0454,0.538,0.09380000000000001,0.12879999999999997,0.05304242424242428,0.22108464944110132,133481816.708,114625649.292,23272480.3108,17192457.991990395,6080022.318809606,0.0530424242424243
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2016,244268256.0,109715716.0,74221480.0,0.5964846609926575,10557988.0,7272439.0,3405000.0,2327966.0,14156772.0,0.043222922916353074,0.04991301169325265,0.045876207265066665,0.538,0.09380000000000001,0.12879999999999997,0.05304242424242428,0.164441865702153,131416321.72800002,112851934.27199998,22912362.412800003,16926422.2385664,5985940.174233604,0.05304242424242429
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2015,240951693.0,104347335.0,75000000.0,0.5818170367571952,9963425.0,6471358.0,3414458.0,2328587.0,11752178.0,0.04135030086715348,0.04616140403184392,0.04552610666666667,0.538,0.09380000000000001,0.12879999999999997,0.05304242424242428,0.19814088928877693,129632010.834,111319682.166,22601268.803400002,16696602.995419197,5904665.807980806,0.053042424242424294
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2014,242046990.0,100211419.0,75000000.0,0.5719457074883915,11272001.0,8936548.0,2148902.0,3159413.0,15652516.0,0.0465694739686703,0.06455283217905783,0.028652026666666667,0.538,0.09380000000000001,0.12879999999999997,0.05304242424242428,0.20184697463334328,130221280.62,111825709.38,22704007.662,16772500.943855997,5931506.718144003,0.05304242424242427
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2013,202231399.0,92403652.0,111140042.0,0.4539745259806477,9774784.0,7783544.0,1760315.0,3384664.0,13688375.0,0.0483346505455367,0.0847807618224119,0.01583871094812075,0.538,0.09380000000000001,0.12879999999999997,0.05304242424242428,0.24726558119572264,108800492.662,93430906.338,18969305.226200003,14013503.454865597,4955801.771334406,0.05304242424242431
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2012,199399531.0,86351732.0,114682911.0,0.4295365749474333,9918595.0,7225054.0,2389623.0,2946421.0,15951326.0,0.04974231860154175,0.0843561625566325,0.020836783607629212,0.538,0.09380000000000001,0.12879999999999997,0.05304242424242428,0.1847132332446845,107276947.678,92122583.322,18703676.0078,13817270.860926397,4886405.1468736045,0.053042424242424294
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2011,205259456.0,78602263.0,128014351.0,0.3804256660599423,8612739.0,5569224.0,2735760.0,1756295.0,10055087.0,0.041960254440117,0.07132170270519293,0.021370728973972613,0.538,0.09380000000000001,0.12879999999999997,0.05304242424242428,0.17466731018836534,110429587.32800001,94829868.67199999,19253336.9728,14223330.847846398,5030006.124953603,0.05304242424242428
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2010,210882854.0,73161979.0,139131129.0,0.3446271981660375,7241185.0,4180590.0,2795292.0,959943.0,7784813.0,0.03433747629382899,0.05752369271355977,0.020091061001884056,0.538,0.09380000000000001,0.12879999999999997,0.05304242424242428,0.12330970570519806,113454975.452,97427878.548,19780811.7052,14613000.838217597,5167810.866982404,0.05304242424242429
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2009,209342048.0,69361329.0,141955204.0,0.32823427497743396,3612331.0,1647823.0,2401941.0,1894129.0,7714657.0,0.017255639918073218,0.02398115867583356,0.016920415260013998,0.538,0.09380000000000001,0.12879999999999997,0.05304242424242428,0.24552342378928838,112626021.824,96716026.176,19636284.1024,14506231.610931197,5130052.491468804,0.05304242424242429
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2008,195736126.0,65674026.0,132364341.0,0.3316227405571366,3643040.0,1796133.0,2391386.0,187194.0,7021413.0,0.01861199602979779,0.0276708945669091,0.018066693657319687,0.538,0.09380000000000001,0.12879999999999997,0.05304242424242428,0.026660445696614056,105306035.788,90430090.212,18360048.618800003,13563417.409494396,4796631.209305607,0.05304242424242432
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2007,189832929.0,61892286.0,130488398.0,0.32171777703004734,6102251.0,3755902.0,2357757.0,3265334.0,10263128.0,0.03214537663273372,0.06149894195831032,0.018068709832731643,0.538,0.09380000000000001,0.12879999999999997,0.05304242424242428,0.31816167546580343,102130115.802,87702813.198,17806328.7402,13154358.915297598,4651969.824902404,0.05304242424242429
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2006,184947194.0,57155918.0,130980497.0,0.3038003993006883,5635486.0,3755107.0,1694139.0,2529165.0,8797833.0,0.030470784001189008,0.06683227263161783,0.012934284407242706,0.538,0.09380000000000001,0.12879999999999997,0.05304242424242428,0.2874759045778659,99501590.37200001,85445603.62799999,17348046.7972,12815804.839913597,4532241.957286404,0.0530424242424243
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2005,138388935.0,46341856.0,93125000.0,0.33227863113225986,4624369.0,3852033.0,708022.0,2347602.0,7017563.0,0.03341574237853626,0.08376955708985447,0.007602920805369127,0.538,0.09380000000000001,0.12879999999999997,0.05304242424242428,0.3345323725629538,74453247.03,63935687.97,12980882.103000002,9589578.217463998,3391303.885536004,0.0530424242424243
FirstEnergy Corp.,The Allegheny Generating Co.,5.0,2020,85774176.0,45977361.0,50000000.0,0.47904381325925394,10749025.0,8474390.0,2235000.0,1981001.0,10176137.0,0.12531772966259683,0.20624178387410422,0.0447,0.47904381325925394,0.0447,0.0,0.0489393838267377,0.19467121954038158,41089588.35021038,44684587.64978962,3834105.6671999996,0.0,3834105.6671999996,0.08580376073399999
