parent_name,utility_name,respondent_id,year,percent_AMI,ownership,housing_units,income
Southern Co.,Alabama Power Co.,2.0,2020,0-30%,owner,92086.71066364304,949151386.229691
Southern Co.,Alabama Power Co.,2.0,2020,0-30%,renter,126159.32173931459,1238082793.3405547
Southern Co.,Alabama Power Co.,2.0,2020,100%+,owner,521425.29956198536,60490725748.91102
Southern Co.,Alabama Power Co.,2.0,2020,100%+,renter,111421.7572482609,9494000836.43041
Southern Co.,Alabama Power Co.,2.0,2020,30-60%,owner,108469.88940252786,2541531751.717079
Southern Co.,Alabama Power Co.,2.0,2020,30-60%,renter,82648.45682004088,1896446989.2582023
Southern Co.,Alabama Power Co.,2.0,2020,60-80%,owner,86772.00997941235,3165505440.1591487
Southern Co.,Alabama Power Co.,2.0,2020,60-80%,renter,47738.03246920879,1706164652.31379
Southern Co.,Alabama Power Co.,2.0,2020,80-100%,owner,83842.64376728122,3967240018.4330077
Southern Co.,Alabama Power Co.,2.0,2020,80-100%,renter,35229.87834832506,1622722326.2344255
Southern Co.,Alabama Power Co.,2.0,2019,0-30%,owner,91032.16441667956,969299609.1313319
Southern Co.,Alabama Power Co.,2.0,2019,0-30%,renter,124714.58733300486,1264364341.7350643
Southern Co.,Alabama Power Co.,2.0,2019,100%+,owner,515454.11122479575,61774799758.12934
Southern Co.,Alabama Power Co.,2.0,2019,100%+,renter,110145.7925071007,9695535857.983309
Southern Co.,Alabama Power Co.,2.0,2019,30-60%,owner,107227.72846580173,2595482416.4773173
Southern Co.,Alabama Power Co.,2.0,2019,30-60%,renter,81701.99430304157,1936704041.2048905
Southern Co.,Alabama Power Co.,2.0,2019,60-80%,owner,85778.32590919401,3232701579.9214616
Southern Co.,Alabama Power Co.,2.0,2019,60-80%,renter,47191.35246929322,1742382463.529629
Southern Co.,Alabama Power Co.,2.0,2019,80-100%,owner,82882.50582030609,4051455073.4341025
Southern Co.,Alabama Power Co.,2.0,2019,80-100%,renter,34826.43755078255,1657168855.6403556
Southern Co.,Alabama Power Co.,2.0,2018,0-30%,owner,90504.21616755956,910532439.1366636
Southern Co.,Alabama Power Co.,2.0,2018,0-30%,renter,123991.29520385366,1195365770.6019933
Southern Co.,Alabama Power Co.,2.0,2018,100%+,owner,512464.69427237427,58568940075.74948
Southern Co.,Alabama Power Co.,2.0,2018,100%+,renter,109506.99325768501,9197758205.031258
Southern Co.,Alabama Power Co.,2.0,2018,30-60%,owner,106605.85275996313,2456707998.5338483
Southern Co.,Alabama Power Co.,2.0,2018,30-60%,renter,81228.15711463348,1839434127.0167391
Southern Co.,Alabama Power Co.,2.0,2018,60-80%,owner,85280.84771270826,3054226096.573439
Southern Co.,Alabama Power Co.,2.0,2018,60-80%,renter,46917.66248213959,1652086005.235038
Southern Co.,Alabama Power Co.,2.0,2018,80-100%,owner,82401.82216183326,3828348136.6039834
Southern Co.,Alabama Power Co.,2.0,2018,80-100%,renter,34624.45886724975,1571395056.3558288
Southern Co.,Alabama Power Co.,2.0,2017,0-30%,owner,90130.7650908163,881760827.634657
Southern Co.,Alabama Power Co.,2.0,2017,0-30%,renter,123479.6650869214,1153146402.5899837
Southern Co.,Alabama Power Co.,2.0,2017,100%+,owner,510350.0912188039,56617962497.90218
Southern Co.,Alabama Power Co.,2.0,2017,100%+,renter,109055.13028074609,8865079772.237791
Southern Co.,Alabama Power Co.,2.0,2017,30-60%,owner,106165.96087220144,2370268730.0160074
Southern Co.,Alabama Power Co.,2.0,2017,30-60%,renter,80892.98220211705,1771189163.2094004
Southern Co.,Alabama Power Co.,2.0,2017,60-80%,owner,84928.95002492625,2951011625.781641
Southern Co.,Alabama Power Co.,2.0,2017,60-80%,renter,46724.06430169911,1591820310.915202
Southern Co.,Alabama Power Co.,2.0,2017,80-100%,owner,82061.80430946084,3699198979.5393524
Southern Co.,Alabama Power Co.,2.0,2017,80-100%,renter,34481.58661230764,1515288293.4697018
Southern Co.,Alabama Power Co.,2.0,2016,0-30%,owner,89738.55262791508,851733143.3972803
Southern Co.,Alabama Power Co.,2.0,2016,0-30%,renter,122942.33176335356,1114483033.8581953
