state,utility_name,respondent_id,securitization_policy,market_indexing_policy,revenue_decoupling,governor_party,legislation_majority_party,date_updated
Alabama,Alabama Power Co.,2,None,No,No,Republican,Republican,11/20/21
Alaska,Alaska Electric Light & Power Co.,3,None,No,No,Republican,Republican,11/20/21
Illinois,The Allegheny Generating Co.,5,None,No,No,Democrat,Democrat,11/20/21
Maryland,The Allegheny Generating Co.,5,None,No,No,Republican,Democrat,11/20/21
Michigan,The Allegheny Generating Co.,5,Passed,No,No,Democrat,Republican,11/20/21
New Jersey,The Allegheny Generating Co.,5,None,No,No,Democrat,Democrat,11/20/21
Ohio,The Allegheny Generating Co.,5,None,No,No,Republican,Republican,11/20/21
Pennsylvania,The Allegheny Generating Co.,5,None,No,No,Democrat,Republican,11/20/21
Virginia,Appalachian Power Co.,6,None,Yes,No,Democrat,Democrat,11/20/21
West Virginia,Appalachian Power Co.,6,None,No,No,Republican,Republican,11/20/21
Arizona,Arizona Public Service Co.,7,None,No,No,Republican,Republican,11/20/21
Arkansas,"Entergy Arkansas, Inc.",8,None,No,No,Republican,Republican,11/20/21
Tennessee,"Entergy Arkansas, Inc.",8,None,No,No,Republican,Republican,11/20/21
New Jersey,Atlantic City Electric Co.,9,None,No,No,Democrat,Democrat,11/20/21
Maryland,Baltimore Gas & Electric Co.,10,None,No,Yes,Republican,Democrat,11/20/21
Maine,Emera Maine,11,None,No,No,Democrat,Democrat,11/20/21
Montana,"Black Hills Power, Inc.",12,Passed,No,No,Republican,Republican,11/20/21
South Dakota,"Black Hills Power, Inc.",12,None,No,No,Republican,Republican,11/20/21
Wyoming,"Black Hills Power, Inc.",12,None,No,No,Republican,Republican,11/20/21
North Carolina,"Duke Energy Progress, LLC",17,Passed,No,No,Democrat,Republican,11/20/21
South Carolina,"Duke Energy Progress, LLC",17,Introduced,No,No,Republican,Republican,11/20/21
New York,Central Hudson Gas & Electric Co.,19,None,No,No,Democrat,Democrat,11/20/21
Louisiana,Cleco Power LLC,22,Passed,No,No,Democrat,Republican,11/20/21
Maine,Central Maine Power Co.,23,None,No,No,Democrat,Democrat,11/20/21
Ohio,"Duke Energy Ohio, Inc.",27,None,No,No,Republican,Republican,11/20/21
Ohio,The Cleveland Electric Illuminating Co.,30,None,No,No,Republican,Republican,11/20/21
Illinois,Commonwealth Edison Co.,32,None,No,No  ,Democrat,Democrat,11/20/21
New York,"Consolidated Edison Co. of New York, Inc.",36,None,No,No,Democrat,Democrat,11/20/21
Connecticut,"Connecticut Light & Power Co., The",39,None,No,No,Democrat,Democrat,11/20/21
Wisconsin,Consolidated Water Power Co.,40,Passed,No,No,Democrat,Republican,11/20/21
Michigan,Consumers Energy Co.,41,Passed,No,No,Democrat,Republican,11/20/21
Ohio,The Dayton Power & Light Co.,42,None,No,No,Republican,Republican,11/20/21
