parent_name,parent_lei,parent_ticker,parent_isin,utility_name,respondent_id,utility_id_eia,utility_lei,entity_type_eia,utility_type_rmi,first_report_year,last_report_year,duplicate_utility_id_eia,utype
"American Electric Power Co., Inc.",1B4S6S7G0TW5EE83BO58,AEP,US0255371017,AEP Generating Co.,1,343,,Investor Owned,Independent Power Producer,1994,2020,,ipp
Alcoa Corp.,549300T12EZ1F6PWWU29,AA,US0138721065,Alcoa Power Generating Inc.,4,,,,Independent Power Producer,1994,1999,,ipp
FirstEnergy Corp.,549300SVYJS666PQJH88,FE,US3379321074,The Allegheny Generating Co.,5,6458,,Retail Power Marketer,Independent Power Producer,1994,2020,,ipp
Brookfield Asset Management,C6J3FGIWG6MBDGTE8F80,BAM,CA1125851040,Catalyst Old River Hydroelectric Ltd.,18,6371,,Independent Power Producer,Independent Power Producer,1994,2020,,ipp
Vistra Corp.,549300KP43CPCUJOOG15,VST,US92840M1027,"Electric Energy, Inc.",50,5748,5493007BHCOEQCCIFE68,Independent Power Producer,Independent Power Producer,1994,2013,,ipp
Entergy Corp.,4XM3TW50JULSLG8BNC79,ETR,US29364G1031,"Entergy Power, LLC",52,,,,Independent Power Producer,1994,2014,,ipp
Great Bay Power Corp.,,,,Great Bay Power Corp.,60,,,,Independent Power Producer,1994,1999,,ipp
Invenergy LLC,549300NMCKSMDPKQ0502,,,Hardee Power Partners Ltd.,64,8106,5493008O2RY70G51UN50,Other,Independent Power Producer,1994,2001,,ipp
Ohio Valley Electric Corp.,549300MA7EMERVYDHS24,,,Indiana-Kentucky Electric Corp.,72,9269,,Investor Owned,Independent Power Producer,1994,2020,,ipp
National Grid PLC,8R95QZMKZLJX5Q2XR704,NGG,US6362744095,National Grid Generation LLC,85,26751,,Investor Owned,Independent Power Producer,1994,2020,,ipp
National Grid PLC,8R95QZMKZLJX5Q2XR704,NGG,US6362744095,National Grid Generation LLC,85,56505,,Investor Owned,Independent Power Producer,1994,2020,,ipp
National Grid PLC,8R95QZMKZLJX5Q2XR704,NGG,US6362744095,New England Power Co.,113,13433,549300DTVRGN9GYD5U85,Investor Owned,Independent Power Producer,1994,2020,,ipp
TC Energy Corp.,549300UGKOFV2IWJJG27,TRP,CA87807B1076,Ocean State Power,124,27769,5493008JPG6UULRKTZ07,Independent Power Producer,Independent Power Producer,1994,2007,,ipp
TC Energy Corp.,549300UGKOFV2IWJJG27,TRP,CA87807B1076,"Ocean State Power, II",125,27770,,Independent Power Producer,Independent Power Producer,1994,2007,,ipp
