parent_name,utility_name,respondent_id,year,state_abbr,state,capacity_owned_in_state,capacity_operated_in_state,mwh_sales_in_state
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2020,IN,Indiana,455.0,,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2019,IN,Indiana,455.0,,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2018,IN,Indiana,455.0,,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2017,IN,Indiana,455.0,,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2016,IN,Indiana,723.0,1232.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2015,IN,Indiana,723.0,1232.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2014,IN,Indiana,723.0,1232.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2013,IN,Indiana,723.0,1232.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2012,IN,Indiana,723.0,1232.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2011,IN,Indiana,723.0,1232.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2010,IN,Indiana,723.0,1232.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2009,IN,Indiana,723.0,1232.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2008,IN,Indiana,723.0,1232.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2007,IN,Indiana,723.0,1232.0,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2006,IN,Indiana,455.0,,
"American Electric Power Co., Inc.",AEP Generating Co.,1.0,2005,IN,Indiana,455.0,,
Southern Co.,Alabama Power Co.,2.0,2020,AL,Alabama,3285.2512,17072.5,50603071.0
Southern Co.,Alabama Power Co.,2.0,2019,AL,Alabama,3106.2512,15371.4,54152400.0
Southern Co.,Alabama Power Co.,2.0,2018,AL,Alabama,3895.0512,15371.4,55686192.0
Southern Co.,Alabama Power Co.,2.0,2017,AL,Alabama,3895.0512,15371.4,53709666.0
Southern Co.,Alabama Power Co.,2.0,2016,AL,Alabama,3877.0512,15371.4,54952074.0
Southern Co.,Alabama Power Co.,2.0,2015,AL,Alabama,3877.0512,15353.4,55765507.0
Southern Co.,Alabama Power Co.,2.0,2014,AL,Alabama,3877.0512,15353.4,56854751.0
Southern Co.,Alabama Power Co.,2.0,2013,AL,Alabama,3878.18,15353.4,54926566.0
Southern Co.,Alabama Power Co.,2.0,2012,AL,Alabama,3850.58,15314.0,53946766.0
Southern Co.,Alabama Power Co.,2.0,2011,AL,Alabama,3849.4512,15314.0,54703833.0
